單詞	TF	DF	TF-IDF
含固定收益	134	101	4.225125564
漲幅或跌幅	133	65	4.818660373
之總額不得	131	128	3.891107555
國內及外國	127	84	4.442077705
及外國子基	126	102	4.175738249
百分之二十	125	73	4.620988188
投資比例限	125	103	4.157955655
之新興市場	125	92	4.309857225
型或債券型	123	66	4.745808696
券之總額不	123	123	3.910418317
附買回交易	122	70	4.661494311
公司並應依	121	121	3.923356588
以符合前述	121	121	3.923356588
計漲幅或跌	119	60	4.851061052
地區調整而	119	65	4.744148562
指?股票型	118	99	4.177195304
契約終止前	118	118	3.942974092
地區之公司	116	55	4.94937187
因信用評等	116	116	3.95619544
上市及上櫃	115	99	4.161986891
及外國有價	114	114	3.969533612
比?之限制	113	85	4.353789374
本基金主要	113	113	3.976247166
總額不低於	112	87	4.317486189
本國子基金	110	91	4.247031548
之受益憑證	109	95	4.184747275
於成立日起	105	105	4.031058744
應依下列規	104	104	4.038052273
基金到期日	103	103	4.045078328
總?額?得	102	76	4.436595923
國內外股票	102	100	4.078011676
貨信託基金	101	100	4.072211973
之百分之十	101	101	4.059229177
承銷股票及	100	94	4.146971
外之國家或	100	96	4.119540861
受前述比例	100	95	4.133183745
券之總?額	99	85	4.271873428
股票型基?	98	76	4.410975422
債券所承擔	96	90	4.178785324
並由國家或	96	96	4.095196068
本基金資產	93	93	4.117192555
得投資高收	93	93	4.117192555
短期票券及	92	58	4.718419949
公司應於前	92	92	4.124595912
等有價證券	91	70	4.469198465
投資於上市	91	86	4.204658947
如因有關法	90	82	4.258947281
或交易之債	89	83	4.236425434
交易市場及	89	77	4.332538289
中國大陸地	89	45	5.020566714
新興市場債	88	75	4.358983459
基金得投資	88	86	4.183971689
證券經紀商	87	19	6.104493515
基金所投資	87	81	4.253385888
內募集及銷	87	87	4.162160161
之國家風險	87	87	4.162160161
債券換股權	86	78	4.294218608
經理公司並	83	83	4.192886205
憑證之總金	82	82	4.200663806
外有價證券	82	78	4.263949657
憑證之總額	81	79	4.240060511
人民幣計價	81	78	4.256151672
且不得低於	81	81	4.208480392
符合下述所	80	52	4.759465585
所及其他經	80	80	4.216336224
受?證券及	80	71	4.366808134
受前述投資	80	80	4.216336224
之債券為限	79	79	4.224231559
係指本基金	78	78	4.232166643
冊或登記之	77	71	4.341839638
開事由發生	76	76	4.248156986
機構評定為	76	75	4.264728373
?低於本基	75	57	4.598880906
高於本基金	75	64	4.454250609
規定之債券	75	75	4.256212682
發?之債券	75	71	4.32464752
債券發行人	75	71	4.32464752
企業所發行	75	71	4.32464752
行之公司債	74	74	4.264308994
經財政部或	74	73	4.281262881
股票之總額	73	62	4.475544945
公司應於三	72	72	4.28062417
管會核准得	71	71	4.288843338
用評等調升	71	71	4.288843338
未達金管會	71	41	4.968795724
含金融資產	71	71	4.288843338
債券總?額	71	64	4.41737343
以外之債券	71	71	4.288843338
於上述國家	70	62	4.447058461
及有價證券	70	52	4.664390794
內有價證券	70	70	4.297103726
或發行而於	69	69	4.305405428
惟投資高收	69	69	4.305405428
主要投資於	68	65	4.369253096
述投資比?	67	67	4.322133005
證券交?所	67	58	4.499177574
存託憑證及	67	57	4.520523306
或店頭市場	66	49	4.695260877
投資組合之	65	65	4.339026203
投資於下列	65	62	4.396751875
市場交?之	65	64	4.357966625
國家之債券	65	38	4.994800019
生信用評等	64	64	4.347534787
為新興市場	64	64	4.347534787
日後若因信	64	64	4.347534787
投資於子基	64	64	4.347534787
場企業債券	64	64	4.347534787
政府或機構	63	43	4.820417018
外國子基?	63	37	5.003120826
國家及地區	63	36	5.036430804
所訂投資比	62	62	4.364675281
地區註冊或	62	62	4.364675281
得高於本基	61	54	4.520751204
子基金投資	61	58	4.434310627
其中投資於	61	61	4.373306774
之相關規定	61	49	4.63828566
的債券投資	60	31	5.178723482
投資組合的	60	37	4.965250256
及其相關規	60	60	4.381978717
連動型或結	59	59	4.390690736
本基金成立	59	55	4.475172135
之總金額?	59	43	4.771360238
評定債務發	58	38	4.906930447
投資地區及	58	57	4.420314932
且每個子基	58	58	4.39944238
不得高於本	58	57	4.420314932
達百分之二	57	54	4.472944071
百慕達群島	57	57	4.408233109
惟不計入本	57	57	4.408233109
規定進行投	56	56	4.417062288
發行之基金	56	56	4.417062288
有價證券及	56	56	4.417062288
投資總金額	56	47	4.62617238
屆滿?個月	56	56	4.417062288
前述國家或	56	46	4.651840528
追蹤標的指	55	31	5.10828221
述之投資比	53	53	4.443772464
致違反本基	53	53	4.443772464
以美元計價	53	53	4.443772464
交?之債券	53	46	4.61136457
交易市場或	53	51	4.489283382
達百分之十	52	52	4.452746729
有關法?或	52	48	4.547160726
投資於中國	52	52	4.452746729
所述投資比	52	52	4.452746729
公司所發行	52	44	4.649794584
依下列規定	52	52	4.452746729
交易市場交	52	48	4.547160726
經濟發展及	51	51	4.461754381
符合本目所	51	51	4.461754381
未達相當於	51	51	4.461754381
投資之債券	51	51	4.461754381
市場型基金	51	38	4.807745512
?證券及經	50	50	4.470793924
金得繼續持	50	50	4.470793924
券及其他經	50	50	4.470793924
符合?管會	49	47	4.528551423
新加坡等國	49	45	4.579356702
據彭博資訊	49	45	4.579356702
任一資產種	49	49	4.479863657
發行之受益	48	48	4.48896165
地區證券交	48	48	4.48896165
新興市場之	47	47	4.498085715
投資比?限	47	47	4.498085715
及中華民國	47	47	4.498085715
原則上本基	47	47	4.498085715
發行或交易	46	46	4.507233376
之證券交易	46	41	4.640301969
投資於債券	45	43	4.568787015
運用本基金	44	28	5.04448353
本子基金所	44	27	5.086234928
投資級債券	44	44	4.525587925
基金及外國	44	40	4.63500753
基金之資產	44	44	4.525587925
及固定收益	44	40	4.63500753
兌美元匯率	44	44	4.525587925
達百分之五	43	43	4.534788082
發行人之母	43	39	4.646457279
發行之國外	43	43	4.534788082
於中國大陸	43	39	4.646457279
投資於前項	43	41	4.58926032
得計入前述	43	43	4.534788082
以及固定收	43	43	4.534788082
附買回交?	42	27	5.047361841
基金投資比	42	42	4.54399827
之興櫃股票	42	42	4.54399827
融市場安定	41	41	4.553213939
由前述國家	41	41	4.553213939
於本基金成	41	41	4.553213939
或地區證券	41	38	4.639436485
從事衍生自	41	27	5.027225428
存放於銀行	41	41	4.553213939
另有規定外	41	33	4.799520855
券或其他經	41	41	4.553213939
之虞等情形	41	41	4.553213939
上櫃股票之	41	39	4.609961644
述新興市場	40	38	4.620394462
總?額應達	40	37	4.650531189
經?公司得	40	22	5.238021804
經理公司將	40	40	4.562429946
短期票券發	40	40	4.562429946
產存放之銀	40	40	4.562429946
本基金運用	40	40	4.562429946
櫃股票之總	39	37	4.63087969
店頭市場所	39	37	4.63087969
則該債券?	39	39	4.571640484
之固定收益	39	32	4.794250837
高股息股票	38	18	5.418007373
金融債券及	38	38	4.580838982
致使該債券	38	38	4.580838982
績效表現為	38	32	4.773377566
為投資標的	38	38	4.580838982
屆滿五年後	38	38	4.580838982
可交換公司	38	38	4.580838982
保管機構辦	38	20	5.299962949
依修正後之	38	38	4.580838982
運用本基?	37	21	5.221750507
財政部核准	37	36	4.620577613
地區交易之	37	32	4.75194761
債市與匯市	37	37	4.590018008
交?之股票	37	34	4.684329584
之投資比?	37	37	4.590018008
該債券即非	36	36	4.599169137
投資於印度	36	35	4.630444109
或社會情勢	36	36	4.599169137
成份國家或	36	34	4.662625727
店頭市場發	36	22	5.145910656
櫃股票為主	35	35	4.608282817
投資於亞太	35	35	4.608282817
投資於上述	35	31	4.742371359
之投資比例	35	35	4.608282817
證券及其他	34	34	4.61734819
正常情況下	34	34	4.61734819
本基?於成	34	34	4.61734819
於銀行存款	34	29	4.79222508
市場之國家	34	34	4.61734819
國證券交?	34	34	4.61734819
主要投資標	34	30	4.754953466
且經理公司	34	34	4.61734819
盧森堡等國	33	32	4.660010226
的新興市場	33	33	4.626352903
由中國大陸	33	21	5.120723703
於經理公司	33	18	5.289330126
或轉投資於	33	28	4.806063753
實收資本額	33	20	5.174089248
地區之證券	33	33	4.626352903
及參與憑證	33	23	5.021220891
切之主要雙	33	33	4.626352903
之總?額應	33	30	4.730600957
且單一印度	33	33	4.626352903
計價之債券	32	32	4.635282867
本基?主要	32	32	4.635282867
本國子基?	32	32	4.635282867
有價證券應	32	32	4.635282867
或存託憑證	32	27	4.8201284
存託憑證或	32	30	4.705499024
基金的投資	32	32	4.635282867
在ㄧ年以上	32	32	4.635282867
及金融債券	32	31	4.669824588
券總額不得	32	32	4.635282867
之比例限制	32	32	4.635282867
之受?憑證	32	23	4.994576844
而逐年降低	31	31	4.644121987
的投資標的	31	28	4.754249299
或地區交易	31	31	4.644121987
或中華民國	31	31	4.644121987
依下?規定	31	31	4.644121987
之投資組合	31	31	4.644121987
不得低於該	31	19	5.173805645
核准募集之	30	30	4.652851824
投外國子總	30	5	6.580426826
市場公司債	30	30	4.652851824
型基金及追	30	30	4.652851824
及盧森堡等	30	29	4.689323116
及大陸地區	30	30	4.652851824
規定持有之	29	29	4.661451203
與由下而上	29	29	4.661451203
能逐年降低	29	29	4.661451203
組合型基?	29	17	5.232602145
持有至到期	29	29	4.661451203
投資於符合	29	29	4.661451203
國家交易之	29	29	4.661451203
額需達本基	28	28	4.669895737
資於中國大	28	28	4.669895737
股票型子基	28	26	4.748656744
款特殊情形	28	27	4.708546805
本基金依前	28	28	4.669895737
有價證券發	28	22	4.926199691
提供投資人	28	28	4.669895737
投資該國家	28	28	4.669895737
幣計價債券	28	28	4.669895737
包括放空型	28	27	4.708546805
選擇權交易	27	27	4.678157249
定義之新興	27	27	4.678157249
基金之投資	27	27	4.678157249
及貨幣市場	27	19	5.04920807
之企業所發	27	24	4.802527638
發行而於中	26	22	4.861410996
發生政治性	26	26	4.686203068
核准之投資	26	26	4.686203068
投資之國外	26	25	4.727338129
國外地區之	26	23	4.81478956
之比?限制	26	23	4.81478956
之債券不包	26	26	4.686203068
調整為不高	25	25	4.693995171
新興市場指	25	15	5.225975163
收益證券及	25	25	4.693995171
指數化策略	25	14	5.297825175
恐怖攻擊等	25	25	4.693995171
得?受前述	25	25	4.693995171
基金運用於	25	25	4.693995171
基金所持有	25	25	4.693995171
可投資國家	25	25	4.693995171
其他金管會	25	25	4.693995171
事業之上市	25	20	4.926379568
經理公司依	24	24	4.701489116
本基?資產	24	20	4.889957208
投資於亞洲	24	24	4.701489116
惟如債券發	24	24	4.701489116
可抗力情事	24	24	4.701489116
之股票總額	24	24	4.701489116
之日起屆滿	24	24	4.701489116
股息÷股價	23	23	4.708632722
發行之股票	23	8	5.791810497
為避險需要	23	23	4.708632722
國經濟發展	23	23	4.708632722
公司基本面	23	13	5.293832235
之金額應達	23	23	4.708632722
之股票投資	23	23	4.708632722
不得超過基	23	23	4.708632722
追求中長期	22	22	4.71536441
機構所發?	22	21	4.76268928
業所發行之	22	7	5.880308929
械與自動化	22	22	4.71536441
投資股票比	22	22	4.71536441
國之國家或	22	22	4.71536441
債券及依據	22	22	4.71536441
之重大變動	22	22	4.71536441
一個營業日	22	13	5.250559572
金額應達基	21	21	4.721611104
規定之外國	21	20	4.770817304
等級以上之	21	21	4.721611104
等任一指數	21	21	4.721611104
符合本項第	21	21	4.721611104
票券及附買	21	21	4.721611104
的總體經濟	21	21	4.721611104
或經?管會	21	19	4.822547977
得低於基?	21	12	5.28599875
影響該國或	21	21	4.721611104
固定收?型	21	18	4.877076231
及符合美國	21	21	4.721611104
全球總體經	21	21	4.721611104
債券型基?	21	21	4.721611104
亦?得高於	21	15	5.060952448
資於特別股	20	20	4.727285552
標的指數之	20	14	5.083719608
成份國家之	20	13	5.15777753
市場掛牌交	20	16	4.950278398
增加投資效	20	20	4.727285552
國之證券交	20	18	4.83257491
券及附買回	20	20	4.727285552
具固定收益	20	11	5.324718791
公司得運用	20	20	4.727285552
債券型子基	20	20	4.727285552
任一指數所	20	20	4.727285552
之公司債及	20	20	4.727285552
之中華民國	20	20	4.727285552
不計入前述	20	20	4.727285552
進行股債比	19	19	4.732282861
評等等級經	19	19	4.732282861
股權性質之	19	19	4.732282861
等相關產業	19	7	5.720477032
票之平均股	19	18	4.785790493
的指數成分	19	14	5.034503846
洲地區以外	19	19	4.732282861
投資於美國	19	19	4.732282861
投資於境外	19	19	4.732282861
投資於國外	19	19	4.732282861
投資於其他	19	19	4.732282861
投資單位或	19	17	4.842357324
投資單位及	19	19	4.732282861
承銷或註冊	19	19	4.732282861
所發行之上	19	19	4.732282861
巴基斯坦等	19	19	4.732282861
屬於債券或	19	19	4.732282861
地區之股票	19	19	4.732282861
在中華民國	19	19	4.732282861
合計總金額	19	19	4.732282861
及新興市場	19	19	4.732282861
包含次順位	19	10	5.367493633
之存託憑證	19	19	4.732282861
之動態調整	19	19	4.732282861
中央銀行所	19	19	4.732282861
額之百分之	18	18	4.736475988
選投資標的	18	18	4.736475988
景氣循環的	18	18	4.736475988
指數成分股	18	13	5.055211741
投資於該等	18	18	4.736475988
投資人參與	18	18	4.736475988
或摩根大通	18	18	4.736475988
得委託與經	18	18	4.736475988
得不受上述	18	18	4.736475988
屆滿二年後	18	18	4.736475988
屆滿三年後	18	18	4.736475988
國或地區有	18	18	4.736475988
含債券指數	18	9	5.415380661
及相關設備	18	7	5.661531182
公司股票為	18	18	4.736475988
保管機構有	18	18	4.736475988
上櫃之股票	18	18	4.736475988
三檔子基金	18	9	5.415380661
長期發展潛	17	17	4.739709754
選擇權及利	17	17	4.739709754
該有價證券	17	14	4.927783183
興櫃股票及	17	17	4.739709754
等國之證券	17	17	4.739709754
決定本基金	17	17	4.739709754
收益債券指	17	17	4.739709754
或符合下列	17	17	4.739709754
外幣間匯?	17	7	5.599215212
基?投資比	17	17	4.739709754
受前述比?	17	17	4.739709754
券或由印度	17	17	4.739709754
作為追蹤及	17	17	4.739709754
但在本基金	17	17	4.739709754
之績效表現	17	10	5.253714302
不得投資於	17	17	4.739709754
述信用評等	16	16	4.741792831
貨幣市場基	16	11	5.100463319
致無法匯出	16	16	4.741792831
美國證券交	16	16	4.741792831
總報酬策略	16	16	4.741792831
每季終?之	16	10	5.191697764
東南亞國協	16	4	6.068805289
有影響該國	16	16	4.741792831
最佳化方法	16	9	5.292552763
普通公司債	16	16	4.741792831
收益及資本	16	16	4.741792831
投資於從事	16	15	4.803571501
或?融債券	16	16	4.741792831
憑證及其他	16	16	4.741792831
存託憑證總	16	16	4.741792831
存託憑證合	16	16	4.741792831
外幣計價之	16	16	4.741792831
因此週轉率	16	16	4.741792831
及前述國家	16	14	4.86961404
交?市場及	16	14	4.86961404
且投資於前	16	16	4.741792831
衍生自貨幣	15	15	4.742486814
而於中國大	15	15	4.742486814
相關產業之	15	14	4.807689523
機構發?之	15	13	4.877726331
持有之股票	15	15	4.742486814
投資組合股	15	9	5.225249939
投資于國內	15	15	4.742486814
基金投資于	15	15	4.742486814
地區或國家	15	6	5.608440589
受益憑證及	15	15	4.742486814
之投資標的	15	15	4.742486814
貨幣計價之	14	14	4.74149107
股票及債券	14	14	4.74149107
美元計價之	14	14	4.74149107
總額應達本	14	14	4.74149107
組合管理之	14	14	4.74149107
發行機構所	14	7	5.387539983
消費性電子	14	14	4.74149107
條第一項第	14	8	5.26308184
投資之股票	14	12	4.885167452
基?投資之	14	14	4.74149107
型基金及指	14	14	4.74149107
地區或香港	14	14	4.74149107
地區及範圍	14	14	4.74149107
國等國證券	14	14	4.74149107
利率及指數	14	14	4.74149107
以追求基金	14	14	4.74149107
之所得分類	14	14	4.74149107
之成分國家	14	14	4.74149107
不可抗力之	14	14	4.74149107
?融債券及	13	13	4.738421291
開曼群島等	13	13	4.738421291
超過百分之	13	4	5.820513719
融債券及經	13	13	4.738421291
與新興市場	13	11	4.891789291
自成?日後	13	13	4.738421291
納米比亞等	13	13	4.738421291
等資產種類	13	13	4.738421291
等國交易之	13	13	4.738421291
由印度政府	13	13	4.738421291
牌之債券及	13	13	4.738421291
本基金所稱	13	13	4.738421291
政府公債及	13	12	4.811906414
完全複製法	13	7	5.306745051
子基?投資	13	13	4.738421291
包括次順位	13	12	4.811906414
分散投資於	13	13	4.738421291
債券與貨幣	13	11	4.891789291
信用評等達	13	8	5.18415336
之銀行存款	13	13	4.738421291
之成份國家	13	11	4.891789291
長期資本增	12	12	4.732778465
銷中公司債	12	12	4.732778465
選擇權及匯	12	12	4.732778465
資產類別間	12	12	4.732778465
而於美國交	12	12	4.732778465
經濟成長及	12	12	4.732778465
絲路國家或	12	4	5.72480003
由亞洲地區	12	6	5.358674386
為提升基金	12	12	4.732778465
洲開發銀行	12	4	5.72480003
本基金將依	12	12	4.732778465
期間為一年	12	12	4.732778465
有價證券不	12	12	4.732778465
於國內外以	12	12	4.732778465
投資於日本	12	10	4.897410627
投資於下?	12	12	4.732778465
所提供未?	12	6	5.358674386
幣計價之有	12	12	4.732778465
太地區投資	12	11	4.811347732
大陸地區及	12	9	4.992548743
基金經理人	12	12	4.732778465
含中華民國	12	12	4.732778465
包括反向型	12	12	4.732778465
公開?明書	12	8	5.098904108
債券以前述	12	12	4.732778465
任一國家或	12	11	4.811347732
類貨幣市場	11	11	4.723902779
資本增長的	11	11	4.723902779
股票總額不	11	11	4.723902779
經理公司於	11	11	4.723902779
澳洲等國家	11	11	4.723902779
櫃檯中心發	11	11	4.723902779
於中國大?	11	11	4.723902779
新興市場或	11	11	4.723902779
投資於具有	11	11	4.723902779
或香港地區	11	5	5.422921935
或外國子基	11	11	4.723902779
地區之企業	11	9	4.90181051
國家或區域	11	7	5.124617231
國家之政府	11	11	4.723902779
及外國證券	11	11	4.723902779
全球高收益	11	11	4.723902779
之子基金總	11	11	4.723902779
計漲幅超過	10	5	5.312963032
規定修正信	10	10	4.71090304
處於所屬交	10	10	4.71090304
蒙古國等國	10	10	4.71090304
累計跌幅達	10	9	4.802418021
的投資機會	10	10	4.71090304
特用化學品	10	10	4.71090304
森堡等國交	10	10	4.71090304
本基?信託	10	10	4.71090304
本基金由上	10	10	4.71090304
本基金係以	10	10	4.71090304
投資於境內	10	10	4.71090304
投資之範圍	10	10	4.71090304
或跌幅超過	10	5	5.312963032
得運用本基	10	10	4.71090304
大陸地區之	10	10	4.71090304
基?資產之	10	10	4.71090304
基金及貨幣	10	7	5.02070696
及經財政部	10	10	4.71090304
券總金額應	10	10	4.71090304
券挑選模式	10	10	4.71090304
利得為目標	10	10	4.71090304
再經由研究	10	10	4.71090304
之銀?存款	10	6	5.154600539
之承銷股票	10	8	4.904723066
且不受本目	10	10	4.71090304
上巿或上櫃	10	10	4.71090304
產價值之百分	2840	1145	1.321059221
淨資產價值之	2822	1147	1.316866867
資產價值之百	2797	1140	1.327545223
價值之百分之	2768	1131	1.341484917
金淨資產價值	2314	941	1.666584068
基金淨資產價	2314	941	1.666584068
本基金淨資產	2095	882	1.77161171
本基金投資於	1505	1031	1.429523141
於本基金淨資	1419	761	1.968317271
應以分散風險	1401	1401	0.86666107
司應以分散風	1390	1390	0.880128475
公司應以分散	1390	1390	0.880128475
原則及專業經	1365	1365	0.911047748
信原則及專業	1365	1365	0.911047748
專業經營方式	1364	1364	0.912293658
及專業經營方	1364	1364	0.912293658
則及專業經營	1364	1364	0.912293658
誠信原則及專	1347	1347	0.933583631
低於本基金淨	1342	759	1.961548217
以誠信原則及	1334	1334	0.95000561
積極追求長期	1257	1256	1.051323235
追求長期之投	1256	1255	1.052652488
求長期之投資	1239	1238	1.075376208
極追求長期之	1237	1236	1.078065429
並積極追求長	1214	1213	1.109235891
之安定為目標	1202	1201	1.125680374
不得低於本基	1165	677	2.13426342
確保基金之安	1122	1120	1.240243477
保基金之安全	1120	1118	1.243149277
經理公司應以	1113	1090	1.286886714
得低於本基金	1095	653	2.183458198
理公司應以分	1089	1089	1.285485114
投資於中華民	1082	754	1.928684072
經金管會核准	1078	620	2.270605636
值之百分之六	1072	682	2.102420209
之百分之六十	1071	678	2.112503596
資於中華民國	1068	742	1.954048877
將本基金投資	988	986	1.444402665
長期之投資利	973	973	1.464988106
期之投資利得	971	971	1.468222869
基金自成立日	950	795	1.810199926
資利得及維持	947	947	1.507440405
之投資利得及	947	947	1.507440405
投資利得及維	944	944	1.51239546
金自成立日起	925	770	1.85996498
利得及維持收	925	925	1.544057795
得及維持收益	913	913	1.564309689
益之安定為目	894	894	1.596790815
及維持收益之	873	873	1.633303209
本基金自成立	868	746	1.901173462
維持收益之安	861	861	1.654465656
持收益之安定	860	860	1.656239198
收益之安定為	857	857	1.661569154
融資產證券化	854	599	2.272479747
新興市場國家	820	178	4.324887662
資產基礎證券	818	592	2.281643104
基金投資於中	814	579	2.31811239
金投資於中華	793	566	2.349838844
機構所保證或	785	549	2.398769114
證券或資產基	783	568	2.340552595
構所保證或發	781	549	2.39740271
或資產基礎證	778	568	2.338880226
券或資產基礎	776	566	2.344167164
產資產信託受	766	560	2.358750331
國之有價證券	759	499	2.550680713
信用評等機構	759	272	3.573247198
基金受益憑證	758	430	2.801055463
所保證或發行	754	481	2.610659112
或機構所保證	750	534	2.433190737
動產資產信託	746	545	2.397438404
額不得低於本	740	495	2.556967548
規範進行投資	731	731	1.899247317
用評等機構評	720	269	3.570729761
興市場國家或	718	140	4.663301849
依下列規範進	718	718	1.925467343
產證券化條例	702	391	2.935812047
市場國家或地	700	134	4.723113572
場國家或地區	700	134	4.723113572
列規範進行投	700	700	1.962359166
下列規範進行	690	690	1.983158766
外國有價證券	689	635	2.121298536
值之百分之七	683	654	2.070103168
之百分之七十	664	634	2.115043575
信託受益證券	649	443	2.703063692
金額不得低於	648	455	2.658345343
金融資產證券	647	445	2.694658059
產信託受益證	628	457	2.641615076
資產信託受益	627	450	2.666589385
總金額不得低	627	438	2.711163242
次順位公司債	626	579	2.250506592
中華民國境內	626	537	2.374670814
之總金額不得	617	422	2.767435282
益證券或資產	610	441	2.69141846
基?淨資產價	607	283	3.418735529
受益證券或資	594	441	2.68321096
不動產證券化	592	446	2.663699209
不動產資產信	590	430	2.722491291
?淨資產價值	587	283	3.405586669
之受益證券或	587	446	2.661098154
並依下列規範	584	584	2.218562825
國家或地區之	536	280	3.387176097
本基?淨資產	527	250	3.563676508
立日起六個月	519	451	2.605353908
評等機構評定	514	224	3.730273122
成立日起六個	514	446	2.620372888
資產證券化條	506	506	2.412516948
可轉換公司債	500	430	2.670593699
動產證券化條	500	500	2.428305435
內募集發行之	500	470	2.527704699
保證或發行之	500	425	2.689382712
投資信託基金	499	409	2.750381707
外國之有價證	492	394	2.805728441
指數股票型基	488	345	3.015771644
動產投資信託	488	397	2.79088348
數股票型基金	484	341	3.031511745
華民國境內之	482	459	2.554704455
券之總金額不	480	330	3.080969134
順位金融債券	478	441	2.616120812
證或發行之債	477	409	2.735817897
或發行之債券	477	409	2.735817897
次順位金融債	474	442	2.609910142
金融組織債券	471	470	2.509972288
有價證券之總	464	447	2.585423144
自成立日起六	461	399	2.764184035
信託基金受益	458	334	3.044760318
自成立日起屆	444	404	2.732145727
成立日起屆滿	444	404	2.732145727
國家或機構所	444	411	2.704934584
不得超過本基	444	346	2.977633809
含次順位金融	442	407	2.718964122
證券投資信託	441	303	3.185271732
國際金融組織	438	424	2.651305094
日起六個月後	436	368	2.873752003
於中華民國及	435	435	2.608659492
家或機構所保	434	401	2.736509522
得超過本基金	433	343	2.982492459
公開招募之受	426	426	2.635103518
之百分之三十	425	347	2.957579806
際金融組織債	421	420	2.653707432
值之百分之三	419	342	2.975378654
投資於外國有	414	410	2.686229192
不動產投資信	414	326	3.046360376
資信託基金受	407	330	3.021005211
華民國及外國	406	405	2.699164832
中華民國及外	406	405	2.699164832
本基?投資於	403	308	3.125441842
金管會核准於	402	401	2.711485021
募集發行之國	399	398	2.720781502
國有價證券之	398	390	2.751703509
依金融資產證	397	397	2.723064472
資於外國有價	396	392	2.742038982
於外國有價證	393	389	2.751514394
產投資信託基	392	350	2.915532939
之國際金融組	386	372	2.815143149
依不動產證券	385	385	2.760771742
含次順位公司	383	381	2.775282564
發行之國際金	379	365	2.838428665
組合之加權平	376	376	2.789589207
行之國際金融	375	361	2.851877943
過本基金淨資	370	266	3.320461063
集發行之國際	367	366	2.823110133
超過本基金淨	366	270	3.29296924
起屆滿三個月	365	365	2.825463419
於中華民國境	365	307	3.093185719
日起屆滿三個	364	364	2.82876137
之加權平均存	362	362	2.835375963
資所在國或地	355	286	3.191958788
所在國或地區	355	286	3.191958788
及外國之有價	355	355	2.858726118
投資所在國或	353	284	3.200565277
於本基?淨資	352	221	3.585764753
合之加權平均	352	352	2.868829771
金管會核准之	350	322	3.003936652
認股權公司債	348	307	3.07519981
招募之受益證	347	347	2.885800603
募之受益證券	347	347	2.885800603
附認股權公司	345	307	3.071934824
開招募之受益	344	344	2.896063227
低於本基?淨	344	227	3.534527266
證券化條例募	340	338	2.91889029
資產組合之加	338	338	2.916772529
產組合之加權	338	338	2.916772529
化條例募集之	333	331	2.943437272
券化條例募集	333	331	2.943437272
整體資產組合	327	327	2.955396446
加權平均存續	327	322	2.978915381
管會核准於我	324	323	2.970795197
核准於我國境	323	322	2.974384787
國境內募集發	323	322	2.974384787
准於我國境內	323	322	2.974384787
會核准於我國	322	321	2.977981922
無擔保公司債	318	277	3.197617021
體資產組合之	317	317	2.991277928
機構評定等級	315	188	3.782701061
證券之總金額	314	291	3.117717461
投資於國內外	314	302	3.061368097
於我國境內募	313	312	3.010701593
基金受益證券	313	276	3.196823641
之有價證券為	313	261	3.28165552
我國境內募集	312	311	3.014376179
託基金受益證	311	274	3.205309553
等機構評定等	311	192	3.744764069
於新興市場國	309	128	4.356311183
經?公司應以	301	281	3.154173474
確保基?之安	298	297	3.066673571
保基?之安全	298	297	3.066673571
資產證券化之	297	290	3.101357379
得低於本基?	297	193	3.715482022
募集及銷售之	296	263	3.247378718
定之信用評等	295	211	3.577973123
規定之信用評	294	210	3.583608231
債券之總金額	293	247	3.337742634
長期之投資?	292	291	3.089591645
證券化條例公	292	292	3.084428701
期之投資?得	292	291	3.089591645
或地區之政府	289	289	3.095958892
產證券化條?	288	161	3.973546924
民國及外國之	288	287	3.105045612
其他經金管會	288	261	3.247715765
產證券化之受	287	280	3.140771612
權平均存續期	287	282	3.130083033
含指數股票型	287	224	3.475874991
之投資?得及	287	286	3.108931429
金管會核准或	286	248	3.321567202
將本基?投資	283	283	3.119258881
券化條例公開	282	282	3.123173814
?公司應以分	281	281	3.127097903
於中華民國之	281	281	3.127097903
投資?得及維	281	280	3.132437495
?得及維持收	278	277	3.144315608
國及外國之有	278	278	3.138925585
資?得及維持	277	276	3.148293841
立日起屆滿三	277	277	3.142886783
價證券之總金	276	263	3.218955897
之上市或上櫃	276	250	3.294710056
基金投資於前	274	274	3.154826982
條例公開招募	273	273	3.158826088
化條例公開招	273	273	3.158826088
例公開招募之	273	273	3.158826088
?得低於本基	272	164	3.917495642
達本基金淨資	270	214	3.517277381
平均存續期間	269	264	3.202865912
國家主權評等	269	203	3.594227704
政府債券及其	264	264	3.195256592
府債券及其他	264	264	3.195256592
債券及其他債	264	264	3.195256592
之政府債券及	264	264	3.195256592
店頭市場交易	262	257	3.232066757
民國境內之上	259	240	3.328787412
及經金管會核	259	238	3.341192315
華民國之有價	258	252	3.254859122
民國之有價證	258	252	3.254859122
中華民國之有	258	252	3.254859122
國境內之上市	257	238	3.337896796
及其他債券總	255	255	3.232504606
募集之封閉型	255	255	3.232504606
券及其他債券	255	255	3.232504606
境內募集發行	254	253	3.242528695
或地區之國家	252	252	3.245109517
應在一年以上	247	247	3.266334486
國內募集發行	246	246	3.270612566
金管會規定之	243	167	3.834994888
續期間應在一	243	243	3.283514151
地區之政府債	243	243	3.283514151
區之政府債券	243	243	3.283514151
依下?規範進	238	238	3.305245294
他經金管會核	237	220	3.4187174
金投資於前述	236	236	3.314019331
本基?自成?	236	221	3.410213868
台灣存託憑證	236	216	3.44373563
